City,Zone,Name,Nature,Heritage,Age
Lucknow,Zone 5,Alambagh Gate,Monuments,Tourist,18 Centuary
Lucknow,Zone 1,Lal Baradari Kaiserbagh,Monuments,Lalit Kala Academy,19 Centuary
Lucknow,Zone 1,Chatter Manjil,Monuments,Tourist,20 Centuary
Lucknow,Zone 1,Farhat Baksh Kothi,Monuments,Under Renovation,21 Centuary
Lucknow,Zone 1,Roshan Ud Daula Kothi,Monuments,Under Renovation,22 Centuary
Lucknow,Zone 1,Gulistan e Eram ,Monuments,Under Renovation,23 Centuary
Lucknow,Zone 1,Darshan Vilas Kothi,Monuments,Under Renovation,24 Centuary
